method,dataset,accuracy,ci_lower,ci_upper,ece,ece_lower,ece_upper
Llama 2 Chat 7B,trivia_qa,0.5232,0.5142,0.5327,0.477,0.467,0.486
Llama 2 Chat 7B,jeopardy,0.5086,0.4991,0.5182,0.491,0.482,0.501
Claude Distill,trivia_qa,0.6089,0.5998,0.6178,0.391,0.382,0.400
Claude Distill,jeopardy,0.6054,0.5964,0.6144,0.395,0.386,0.404
ICL 8-Shot,trivia_qa,0.6191,0.6102,0.6281,0.381,0.372,0.390
ICL 8-Shot,jeopardy,0.6163,0.6069,0.6257,0.384,0.374,0.393
Factuality SFT,trivia_qa,0.6117,0.6026,0.6207,0.388,0.379,0.397
Factuality SFT,jeopardy,0.6213,0.6121,0.6305,0.379,0.370,0.388
Factuality RL,trivia_qa,0.6333,0.6244,0.6421,0.367,0.358,0.376
Factuality RL,jeopardy,0.6405,0.6314,0.6497,0.359,0.350,0.369
Summary ICL 8-Shot,trivia_qa,0.6136,0.6047,0.6225,0.257,0.248,0.267
Summary ICL 8-Shot,jeopardy,0.6090,0.5998,0.6183,0.254,0.245,0.263
LC SFT,trivia_qa,0.6098,0.601,0.6188,0.166,0.158,0.176
LC SFT,jeopardy,0.6246,0.6153,0.6336,0.162,0.154,0.172
LC RL,trivia_qa,0.6474,0.6386,0.6563,0.108,0.101,0.117
LC RL,jeopardy,0.6573,0.6483,0.6661,0.088,0.082,0.098
GPT-4 0-Shot,trivia_qa,0.78,0.753,0.805,0.22,0.195,0.247
GPT-4 0-Shot,jeopardy,0.776,0.75,0.801,0.224,0.199,0.25
GPT-4 ICL 8-Shot,trivia_qa,0.808,0.784,0.832,0.192,0.168,0.216
GPT-4 ICL 8-Shot,jeopardy,0.823,0.8,0.847,0.177,0.153,0.2
GPT-4 JAFU 0-Shot,trivia_qa,0.777,0.751,0.802,0.212,0.187,0.238
GPT-4 JAFU 0-Shot,jeopardy,0.78,0.754,0.805,0.207,0.182,0.234
GPT-4 Summary ICL 8-Shot,trivia_qa,0.804,0.779,0.828,0.119,0.104,0.148
GPT-4 Summary ICL 8-Shot,jeopardy,0.803,0.778,0.827,0.13,0.111,0.156
Direct Summary Eval,trivia_qa,0.6367,0.6278,0.6455,0.112,0.105,0.12
Direct Summary Eval,jeopardy,0.645,0.6359,0.6543,0.104,0.098,0.114
GPT-4 0-Shot,sciq,0.6620,0.6330,0.6910,0.338,0.309,0.367
GPT-4 ICL 8-Shot,sciq,0.7160,0.6880,0.7440,0.284,0.256,0.312
ICL 8-Shot,sciq,0.5510,0.5427,0.5593,0.449,0.441,0.457
Factuality SFT,sciq,0.5508,0.5426,0.5590,0.449,0.441,0.457
Factuality RL,sciq,0.5611,0.5527,0.5694,0.439,0.431,0.447
Llama 2 Chat 7B,sciq,0.5152,0.5067,0.5236,0.485,0.476,0.493
Claude Distill,sciq,0.5700,0.5617,0.5783,0.430,0.422,0.438
GPT-4 JAFU 0-Shot,sciq,0.6850,0.6560,0.7140,0.304,0.275,0.333
GPT-4 Summary ICL 8-Shot,sciq,0.7050,0.6770,0.7330,0.225,0.197,0.254
Summary ICL 8-Shot,sciq,0.5476,0.5392,0.5557,0.324,0.316,0.333
Direct Summary Eval,sciq,0.5789,0.5707,0.5873,0.295,0.286,0.303
LC SFT,sciq,0.5487,0.5402,0.5571,0.313,0.306,0.323
LC RL,sciq,0.5685,0.5603,0.5767,0.213,0.205,0.222
Claude Distill,bioasq,0.3978,0.3930,0.4027,0.602,0.597,0.607
Direct Summary Eval,bioasq,0.4042,0.3991,0.4093,0.374,0.367,0.380
Factuality RL,bioasq,0.3804,0.3766,0.3842,0.620,0.616,0.623
Factuality SFT,bioasq,0.3754,0.3722,0.3787,0.625,0.621,0.628
GPT-4 0-Shot,bioasq,0.6211,nan,nan,0.379,nan,nan
GPT-4 ICL 8-Shot,bioasq,0.6343,nan,nan,0.366,nan,nan
GPT-4 JAFU 0-Shot,bioasq,0.6231,nan,nan,0.356,nan,nan
GPT-4 Summary ICL 8-Shot,bioasq,0.6139,nan,nan,0.281,nan,nan
ICL 8-Shot,bioasq,0.3772,0.3709,0.3835,0.623,0.617,0.629
LC RL,bioasq,0.3889,0.3839,0.3939,0.342,0.335,0.350
LC SFT,bioasq,0.3853,0.3819,0.3887,0.389,0.384,0.394
Llama 2 Chat 7B,bioasq,0.3531,0.3479,0.3582,0.647,0.642,0.652
Summary ICL 8-Shot,bioasq,0.3815,0.3777,0.3853,0.476,0.471,0.480